e1,e2,g12,f_nu12,f_nu23,f_cte1,f_cte2,ar,fiber_massfrac,fiber_density,matrix_modulus,matrix_poisson,matrix_density,m_cte,a11,a22,a12,a13,a23,E1,E2,E3,G12,G13,G23,nu12,nu13,nu23,CTE11,CTE22,CTE33,CTE12,CTE13,CTE23
266432.15068615973,6289.602015167475,5673.281669616699,0.4016458760481328,0.34331076718866826,2.785198631696403e-06,7.4846124202013025e-06,20.690836324356496,0.11884441729635001,2569.0163858700544,4689.387426711619,0.364989298004657,1337.7387318760157,0.00010256739723496139,0.40196958308738595,0.3435670989787454,0.1334105405050795,0.053455681095109835,0.041621228067595294,6781.95998643608,6195.403010965863,5889.9752621039,2528.5728734702134,2331.708909459743,2352.6090434291627,0.3493726687012546,0.35520515428958965,0.3700266402329471,7.2971e-05,8.3304e-05,9.5035e-05,-5.0746e-06,-2.0063e-05,-1.6833e-05
240725.39824992418,43819.02875378728,26663.025822490454,0.3563228799495846,0.11908349446952343,1.9800599762238555e-06,1.7269585326313975e-05,41.157428541220725,0.1829111204948276,1785.2164580021054,5278.746363706887,0.3570069028250873,1436.8795674294233,5.167035994119942e-05,0.27611619770506013,0.4206643214172059,-0.031546176043957666,0.05080536536252484,-0.19680903143019568,10426.332745983256,13382.58123226808,10881.156014014929,4417.156234816025,4058.441558441558,4566.41855792502,0.267779503915088,0.32632336228378395,0.33524704244954767,3.7262e-05,2.3302e-05,3.4106e-05,-5.7309e-06,2.5232e-06,2.6828e-06
78306.28817901015,12727.835819125175,3012.045230716467,0.2730970744043589,0.3135027274116874,-1.1925144265405837e-06,9.668017566204072e-06,55.101394147612154,0.28361573480069635,2280.4723464418203,6985.428885556757,0.3015316701307893,972.9339005425572,9.450176169164478e-05,0.4994164301171894,0.23629284629845804,0.007959320381059933,0.006378534364607374,-0.06004148938381245,10261.251462228332,8455.22955948254,8594.757198109153,3460.5668408485312,3520.7548498398055,3270.645952575634,0.3103720729780204,0.310803045539434,0.29975479834277496,5.3479e-05,7.8303e-05,7.5184e-05,-5.8423e-07,-8.8248e-07,-7.4718e-07
124004.63288649917,25405.95130994916,42466.84340387583,0.41090567158535124,0.3961900129169226,-5.371092492714528e-07,1.4826611131429672e-05,77.27982681617141,0.33176204110495744,1943.248153384775,9394.688013009727,0.28946873985230925,1299.2061976343393,1.1432075677439572e-05,0.2691252401296914,0.6516598934510042,-0.33571318093598246,0.02848924986420976,-0.049060125847700975,14233.05199333893,17912.158773375366,12547.366307811992,6800.870511425463,5189.682910374177,6206.554121151937,0.23456069685022557,0.3083306053317012,0.33030020778104174,9.862e-06,5.8539e-06,1.2537e-05,6.8518e-08,4.1527e-06,3.887e-06
194981.51559382677,9402.670159935951,20202.863849699497,0.25980407143943013,0.25639291759580374,1.431667373515665e-06,6.240668401122093e-06,16.877915252000093,0.10555567722767592,1447.1676466055214,3152.7977427467704,0.4140704761631787,1088.344188965857,8.177098955027759e-05,0.2900815492519427,0.1806443805432594,-0.015644633578007085,-0.19514541428381382,0.09473985689855369,4340.654570709263,4232.087688856913,5375.477073590281,1489.2032762472077,1873.2555307869548,1621.6654504175788,0.43575831235350293,0.3336096883410018,0.314668415929578,7.3509e-05,8.498e-05,4.854e-05,2.0408e-05,2.3246e-06,2.8675e-06
213422.89210297167,31784.65609252453,9222.712211310863,0.20006029661744834,0.2085053599998355,2.3674877821467816e-06,1.3009590327739718e-05,89.88516770955175,0.3109958520159125,2476.0441922582686,7967.518500983715,0.3903258621133864,1223.1143284589052,0.00011094890037551523,0.21474117601120168,0.2175153098566672,0.09271103856694005,-0.043596957199056215,-0.1668168993493333,12988.531127014847,12862.563508907326,21559.158330458777,4962.779156327543,5682.463916354131,5731.315910132967,0.4273746282032965,0.2253510150537076,0.22827191459257834,9.5507e-05,9.6853e-05,3.7166e-05,9.9178e-06,-1.6517e-05,-2.6844e-05
168078.2716255635,3406.7213721573353,31451.69835537672,0.4292676151264459,0.4578171718865633,-2.1815578606911006e-06,5.9236485511064525e-06,4.832825778983533,0.14777597705833614,1663.488224428147,1768.4392370283604,0.26610882833600047,1171.4670220389962,4.383354591205716e-05,0.4041885784749663,0.21254636303279437,0.10468385032029039,0.10698171879749127,-0.0012075304674477138,2317.8731196254316,2091.83139838929,2290.1112994091513,874.6610688358261,928.418902608857,870.3220191470843,0.2706348654474654,0.25269452750156457,0.24750549105742078,3.226e-05,3.8173e-05,3.284e-05,-2.7609e-06,-3.0669e-06,-3.026e-06
96699.74255375564,35334.15473997593,14037.176828831434,0.317109248181805,0.37550440412014724,-2.370167504996063e-07,1.8581722363829615e-05,28.53097584657371,0.19543960727751253,1326.2479406315833,3859.094312414527,0.32277671348303555,1365.516683086753,6.897587969899178e-05,0.7412805586466935,0.1384051327994291,-0.04739101162160974,-0.24086521938970298,0.08363313115559458,10685.473099321473,6046.3147711469865,5432.715814635737,2697.5991367682764,2565.813106173346,2176.0891326108717,0.3105625901586793,0.3903296468451141,0.38103271056291194,1.9154e-05,5.6386e-05,6.5599e-05,1.8281e-05,8.2573e-06,4.7889e-06
284755.88322617114,22118.97962167859,37631.847482174635,0.3534484005533159,0.07081473149359227,3.582311123609542e-07,1.0480155557394028e-05,67.13134053908288,0.23413071422837672,2137.9805775824934,5593.278327956796,0.37865862136706707,1041.9533209875226,2.936644084751606e-05,0.2761076226270221,0.2287490524321547,-0.20907999779811737,0.05056309458966041,-0.00429857263366214,8516.436722875149,7373.000073730001,13232.764324467382,3925.7252777450635,4020.100502512563,3684.1911358361267,0.4819707034576733,0.20841423948220064,0.22993438029934382,2.3103e-05,3.0417e-05,1.2641e-05,1.6916e-06,9.924e-06,1.4226e-05
289204.4325824827,33924.59803447127,30912.393491715193,0.398879319941625,0.47194200433790684,1.352054483722895e-06,1.9512501418590546e-05,55.434806558303535,0.13257209761068225,1382.1167937014252,9063.36946040392,0.2950423743762076,1382.0738475769758,0.0001122538444865495,0.276301593208416,0.31796382759600333,0.15861431947432741,-0.18285766385025684,0.14774790645590366,12060.834850988385,12925.57454178838,14166.513196107042,5877.512636652169,6083.835249741437,6184.291898577613,0.3015570537792626,0.27511970378589606,0.2691880154072848,8.5352e-05,7.6698e-05,6.5559e-05,3.2773e-05,-2.8536e-05,-3.2461e-05
92250.98644383252,1442.6801279187202,9412.533324211836,0.2326458583585918,0.16687802296131848,-4.570620008744303e-07,1.142657394707203e-05,38.49331774841994,0.29699835800565777,2257.802403019741,2922.587741166353,0.35227568075060844,1030.3763391450047,4.165267509408295e-05,0.5509862734591953,0.15882243057692447,0.23577965395177597,-0.29639355652373134,-0.09624016174185802,4933.155739726703,3319.1715347849176,3682.9699469652332,1764.010654624354,1939.1870927707105,1647.283629295292,0.3383602190321149,0.30108036110700015,0.3269118428040361,2.1257e-05,3.8495e-05,3.2232e-05,1.4593e-05,-1.6115e-05,-1.3769e-05
