k_f1,k_f2,k_m,ar_f,w_f,rho_f,rho_m,a11,a22,a12,a13,a23,k11,k12,k13,k22,k23,k33
27.543626922863535,3.4815289297231478,0.9431171988650225,179.14081072447212,0.05134963859362251,1356.7645380051742,1714.6283791222436,0.22956891327027046,0.6692764916958497,0.38129516953396425,0.08985686067687065,0.3803141336112895,1.3758,0.50702,0.18021,2.0293,0.47255,1.2645
10.05705712252371,2.830491697934177,0.699818540329393,50.96181317235757,0.1571962885134653,1458.5965363981813,949.890611844374,0.23718283702192644,0.2864471281699234,0.3059883522279203,-0.28221416175724845,-0.35774198528417517,1.0419,0.14165,-0.13993,1.0713,0.15881,1.1791
0.014390426720306276,19.241425034207012,0.1781961176031269,404.3203360282236,0.025895510188442383,1314.0397276837277,1757.1841685716577,0.4016507207625248,0.14988909749526497,0.10596767706324606,-0.13570680576411914,-0.044150218446051825,0.18337,-0.001913,0.0024499,0.18792,-0.001913,0.18253
15.377627411563415,17.02722085646009,0.5088033500252291,147.35008375914632,0.396513778000283,1671.4622581547894,1675.4829613300747,0.4812098811581433,0.05838888355589075,0.25983193112648806,-0.05415189728922304,0.26937009830286396,3.3887,0.92838,-0.13548,1.9345,0.92105,3.3015
25.190847984219808,0.8992496196976862,0.11142077297903598,305.7997188783956,0.21532441727333565,2043.66292084218,1017.6530801591077,0.10474074776612036,0.32175529596164265,0.059931030388846285,-0.30143581387881846,0.13253307472681064,0.55445,0.13724,-0.77782,1.0397,0.15231,1.767
22.652602007099798,18.319025248949973,0.9340874431791716,460.55522771790845,0.19596016051364448,1897.3369691677017,1580.5318049944744,0.44562141913349557,0.022083377510821598,-0.02199995314621478,-0.35046860450896994,0.03914444353149077,2.7527,-0.073204,-1.1662,1.3434,-0.073204,3.0412
17.40406753751319,4.378482278253883,0.44393979337187484,119.04305131753318,0.014673184646016194,1817.7899146589125,1112.4943812184617,0.19153960007840581,0.3601535729616695,-0.22207241275103984,-0.003183249290417911,0.35268657430906014,0.47846,-0.031738,-0.0003218,0.50269,-0.031893,0.51522
2.7706161216701384,1.851842545592785,0.8673083326632157,362.461475448669,0.3565780564268137,1234.4812984241482,967.5537534216309,0.271526393861061,0.24395063344705747,-0.16814094402726365,-0.18511287633720785,-0.12752925546819943,1.1807,-0.054646,-0.062082,1.1713,-0.056008,1.2534
7.78328149299873,15.450219611236452,0.25292074032798406,215.85817191393372,0.22537489920279175,1538.1566704874053,1739.6308956815335,0.31277803089559825,0.1820780783103157,-0.3680875260495387,-0.231618817542851,-0.2643182582306034,0.94027,-0.29653,-0.18362,0.85681,-0.3265,1.1404
28.551037633843347,14.126028135236353,0.7805147221397608,297.5942452703023,0.3769032966964923,1796.4470383469138,1766.758324449518,0.6008463026049249,0.2952434391538825,-0.3002474471803114,0.21214648010291998,-0.329556539966173,6.713,-2.5664,1.8276,4.4451,-2.0993,3.0931
